model_label,sample,flow,dimension,metric,outcome,term,coefficient,std_error,t_stat,p_value,ci_low,ci_high,nobs,clusters,r_squared,status,candidate_rows,dropped_rows,dropped_regressors,fixed_effects,se_method,cluster_col,p_value_reference,bh_q_value,source_note,source_label,source_matches_country_size_panel
post2001_common_universe_year_fe,rd2_countries,Imports,product,gini,total_gini,log_population,-0.0032735651222792392,0.002018265341519002,-1.6219696463773512,0.11014215844365216,-0.007312104742414501,0.0007649744978560223,1366,60,0.4143853451039866,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.14452167409090197,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,gini,total_gini,log_gdp_per_capita,-0.013033290308323037,0.0016753627323782226,-7.779384163465263,1.2927623577313803e-10,-0.01638568339243319,-0.009680897224212882,1366,60,0.4143853451039866,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,gini,old_positive_gini,log_population,-0.0024184655155945743,0.0020192625672425294,-1.197697394498423,0.23582444817154774,-0.006459000579793525,0.0016220695486043762,1366,60,0.3663286263189315,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.26465325756696995,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,gini,old_positive_gini,log_gdp_per_capita,-0.011986980683276803,0.0017014133865054942,-7.045307612100473,2.267407923787333e-09,-0.015391501005891803,-0.008582460360661803,1366,60,0.3663286263189315,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,gini,old_universe_gini_with_exits,log_population,-0.0030953468366612088,0.001543695573726553,-2.0051536645848493,0.04954099857331306,-0.006184274544863358,-6.419128459059925e-06,1366,60,0.4546269486477861,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.07431149785996959,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,gini,old_universe_gini_with_exits,log_gdp_per_capita,-0.011238117280926658,0.0014343620124496438,-7.834923947639888,1.0410360807222963e-10,-0.014108269038343781,-0.008367965523509534,1366,60,0.4546269486477861,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,entry_share,new_value_share,log_population,-0.005982002445147411,0.004589986376049431,-1.3032723749163018,0.19754492401745674,-0.015166543969110439,0.003202539078815617,1366,60,0.31665460542393864,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.2370539088209481,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,entry_share,new_value_share,log_gdp_per_capita,-0.0016994902900089692,0.006913193166357014,-0.24583289503315514,0.8066647836334232,-0.015532757863720749,0.01213377728370281,1366,60,0.31665460542393864,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,entry_share,new_active_share,log_population,-0.005296280388121889,0.0030920198719520554,-1.7128869177604085,0.09198438607140672,-0.011483397860855029,0.0008908370846112497,1366,60,0.3846624277359668,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.12986030974786833,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,entry_share,new_active_share,log_gdp_per_capita,-0.004998942536298986,0.005310586138885167,-0.9413165337241657,0.3503809931970344,-0.015625400855147825,0.005627515782549852,1366,60,0.3846624277359668,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,exit_share,old_exit_count_share,log_population,-0.010686402895153607,0.0026358070506272624,-4.054319109818939,0.00014934759662392857,-0.01596064062099123,-0.005412165169315987,1366,60,0.4807636842601647,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.0005120489027106123,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,product,exit_share,old_exit_count_share,log_gdp_per_capita,-0.019843138643622655,0.004861626769835758,-4.081584124626874,0.00013632578158225664,-0.029571231340054197,-0.010115045947191112,1366,60,0.4807636842601647,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_product,Mapped import cells: products,False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,total_gini,log_population,-0.002490333968878737,0.0021098303777829517,-1.1803479536092496,0.24259881943638908,-0.006712094803372646,0.0017314268656151723,1366,60,0.11013825797559285,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.26465325756696995,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,total_gini,log_gdp_per_capita,0.005231861676920149,0.0020905840122623196,2.5025837977486995,0.01511932281785374,0.0010486127308780221,0.009415110622962276,1366,60,0.11013825797559285,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_positive_gini,log_population,7.740449578290044e-05,0.0022422355951432368,0.03452112523347742,0.9725781248667985,-0.004409298566683712,0.004564107558249513,1366,60,0.19429406511326663,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.9725781248667985,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_positive_gini,log_gdp_per_capita,0.009630013957188226,0.002400440995881306,4.011768659888526,0.00017209959388222318,0.004826742619056135,0.014433285295320317,1366,60,0.19429406511326663,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_universe_gini_with_exits,log_population,-0.0021490822526512607,0.0019234726715547609,-1.1172928445685362,0.26839834924835737,-0.005997942178311429,0.0016997776730089081,1366,60,0.11688195157721948,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.28006784269393814,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,gini,old_universe_gini_with_exits,log_gdp_per_capita,0.004960309672829609,0.002059674417148168,2.4082979482250746,0.019170308774953303,0.0008389106837494789,0.00908170866190974,1366,60,0.11688195157721948,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_value_share,log_population,-0.002896418864128093,0.0010858422184279615,-2.667439905147003,0.009850707389959648,-0.005069184124535555,-0.0007236536037206311,1366,60,0.08715844521359539,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.019701414779919296,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_value_share,log_gdp_per_capita,-0.0009972751326380578,0.0009229383865970241,-1.0805435629512838,0.2842973924934369,-0.002844070578478946,0.0008495203132028301,1366,60,0.08715844521359539,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_active_share,log_population,-0.02549234885455497,0.00656329993171392,-3.884074950068292,0.00026224177456093966,-0.03862548168292157,-0.012359216026188374,1366,60,0.41793004380779863,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.0006993113988291725,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,entry_share,new_active_share,log_gdp_per_capita,-0.03315034395426297,0.005323158092782203,-6.227570809743997,5.403223565063522e-08,-0.04380195869475332,-0.022498729213772627,1366,60,0.41793004380779863,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,exit_share,old_exit_count_share,log_population,-0.016512414881295318,0.004117333797629154,-4.010463006619359,0.00017284809093916058,-0.02475118078039787,-0.008273648982192768,1366,60,0.36157949575324466,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.0005185442728174817,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Imports,partner,exit_share,old_exit_count_share,log_gdp_per_capita,-0.027996577739816633,0.004568779399599905,-6.12780248095768,7.927347268862613e-08,-0.03713868420192093,-0.018854471277712337,1366,60,0.36157949575324466,ok,1366,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,exercise11_mapped_import_cells_partner_no999999_sensitivity,"Mapped import cells: partners, no-999999 sensitivity",False
post2001_common_universe_year_fe,rd2_countries,Exports,product,gini,total_gini,log_population,-0.013247434646912125,0.0023146832587621004,-5.723217030565509,3.705599101756935e-07,-0.017879105149433378,-0.008615764144390872,1365,60,0.44090416391662113,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",3.784802668397634e-06,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,gini,total_gini,log_gdp_per_capita,-0.014562758342888385,0.0023118615968432147,-6.29914799517992,4.1015597346223786e-08,-0.019188782712951418,-0.009936733972825351,1365,60,0.44090416391662113,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,gini,old_positive_gini,log_population,-0.011022676573870278,0.004515645987061683,-2.4409966160882997,0.017666593151068808,-0.02005846332306354,-0.001986889824677018,1365,60,0.09878106434821998,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.03261524889428088,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,gini,old_positive_gini,log_gdp_per_capita,-0.009603326975517554,0.00596218524886303,-1.6107059030661415,0.11258149436621144,-0.021533632101798525,0.002326978150763416,1365,60,0.09878106434821998,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,gini,old_universe_gini_with_exits,log_population,-0.01214302790719781,0.002145957173039483,-5.658560226529923,4.7310033354970417e-07,-0.01643707829202518,-0.007848977522370442,1365,60,0.46394368285212684,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",3.784802668397634e-06,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,gini,old_universe_gini_with_exits,log_gdp_per_capita,-0.013206763347457148,0.0021058325823885707,-6.2715162914219835,4.562312087270736e-08,-0.01742052461184436,-0.008993002083069936,1365,60,0.46394368285212684,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,entry_share,new_value_share,log_population,-0.01968959692825645,0.009488891338675616,-2.0750155340070076,0.04235488065071378,-0.03867682464012816,-0.0007023692163847482,1365,60,0.2249605712956293,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.06776780904114205,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,entry_share,new_value_share,log_gdp_per_capita,-0.01574692585746576,0.011703773896534023,-1.3454571146601766,0.1836259604880944,-0.03916612333062045,0.007672271615688932,1365,60,0.2249605712956293,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,entry_share,new_active_share,log_population,-0.02974716150183297,0.00721813550146826,-4.121169725309538,0.00011935319096238858,-0.0441906172786858,-0.015303705724980143,1365,60,0.38691331159157183,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.00047741276384955433,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,entry_share,new_active_share,log_gdp_per_capita,-0.05378018008789651,0.01250788240304178,-4.299703047641203,6.505437589396152e-05,-0.07880839496605468,-0.02875196520973834,1365,60,0.38691331159157183,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,exit_share,old_exit_count_share,log_population,-0.040588252440097214,0.006926037314139168,-5.860241664773921,2.203455007249891e-07,-0.05444722109415657,-0.02672928378603786,1365,60,0.6416636362089929,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",3.784802668397634e-06,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,product,exit_share,old_exit_count_share,log_gdp_per_capita,-0.0759889175172837,0.00788917358333271,-9.632050393443476,1.0274189226792127e-13,-0.09177511739446852,-0.06020271764009889,1365,60,0.6416636362089929,ok,1365,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,gini,total_gini,log_population,-0.0059651027496236565,0.0020650677971923324,-2.888574775963198,0.005403889654536773,-0.010097293867244433,-0.0018329116320028793,1372,60,0.11970041626723937,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.011790304700807504,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,gini,total_gini,log_gdp_per_capita,0.002439821646706317,0.002071355422967219,1.1778865276589132,0.24357118083471482,-0.0017049509810291566,0.0065845942744417905,1372,60,0.11970041626723937,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,gini,old_positive_gini,log_population,-0.003412243142934335,0.002129487159305626,-1.6023778908565873,0.11441299198863072,-0.007673337106403207,0.000848850820534537,1372,60,0.14874310710618466,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.14452167409090197,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,gini,old_positive_gini,log_gdp_per_capita,0.0074893535492259935,0.0023390064884695554,3.2019379108804364,0.0022004779800347506,0.002809012376479945,0.012169694721972043,1372,60,0.14874310710618466,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,gini,old_universe_gini_with_exits,log_population,-0.006402161033523478,0.0018941948223849107,-3.3798851933629264,0.0012907722837729265,-0.010192436118314411,-0.002611885948732545,1372,60,0.15314432517648024,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.0030978534810550237,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,gini,old_universe_gini_with_exits,log_gdp_per_capita,0.002380552327775311,0.002192087239942659,1.0859751767167722,0.28190715140245215,-0.0020058041077162165,0.006766908763266839,1372,60,0.15314432517648024,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,entry_share,new_value_share,log_population,-0.004803329518727548,0.00202512170243414,-2.371872027717682,0.020979663723020982,-0.008855588685364506,-0.0007510703520905906,1372,60,0.12031382158853587,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",0.03596513781089311,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,entry_share,new_value_share,log_gdp_per_capita,-0.005490967462635962,0.002355709345343989,-2.33091891132017,0.023194841590673695,-0.010204730974788623,-0.0007772039504833012,1372,60,0.12031382158853587,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,entry_share,new_active_share,log_population,-0.026948661353770758,0.0055245028211707865,-4.878024724776886,8.476967979200341e-06,-0.038003165965169096,-0.01589415674237242,1372,60,0.44663551087327324,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",4.068944630016164e-05,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,entry_share,new_active_share,log_gdp_per_capita,-0.04557063551543159,0.0070370882801273895,-6.47577999612741,2.0734860488891762e-08,-0.05965181663916561,-0.03148945439169757,1372,60,0.44663551087327324,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,exit_share,old_exit_count_share,log_population,-0.02629077454247908,0.005019048562694934,-5.238198876554101,2.2745728672407176e-06,-0.036333867518832205,-0.01624768156612595,1372,60,0.40583143829087553,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",1.3647437203444306e-05,default_export_aggregate,Main export item universe,True
post2001_common_universe_year_fe,rd2_countries,Exports,partner,exit_share,old_exit_count_share,log_gdp_per_capita,-0.03650593946125925,0.005644215238291283,-6.467850342346437,2.1380829762194607e-08,-0.04779998806601547,-0.025211890856503022,1372,60,0.40583143829087553,ok,1372,0,,year,clustered by reporter_code,reporter_code,"Student t, df=59",,default_export_aggregate,Main export item universe,True
