country,iso3,reporter_code,year,flow,dimension,total_trade_value,top_1_item_share,top_2_item_share,top_3_item_share,top_4_item_share,top_5_item_share,cumulative_top_5_share,gini,active_count,top_5_partner_share
Australia,AUS,36,2025,Exports,partner,335841111839.935,0.30295639595848145,0.13963480329962596,0.07518701072872462,0.07390619610521892,0.05900288106563706,0.6506872871576881,0.9381571338168004,212,0.6506872871576882
Australia,AUS,36,2025,Exports,product,335841111839.935,0.23144777397561644,0.12330100555460041,0.11449593999802739,0.08055920276950104,0.03366516633559329,0.5834690886333386,0.978549494044261,4907,
Australia,AUS,36,2025,Imports,partner,309962574599.166,0.26740285971979083,0.10986544510185077,0.05315364183048159,0.04709590341399325,0.04241480889829456,0.519932658964411,0.9114289284222221,219,0.5199326589644111
Australia,AUS,36,2025,Imports,product,309962574599.166,0.07614434188273936,0.03863577050632493,0.019872328154198954,0.019612769019819457,0.017904370074673305,0.172169579637756,0.884884650132757,5120,
Austria,AUT,40,2024,Exports,partner,206422770548.365,0.2965287070119301,0.08478478848020007,0.06111317504758644,0.05138351020876758,0.038442962753630454,0.5322531435021147,0.9082591589540561,223,0.5322531435021146
Austria,AUT,40,2024,Exports,product,206422770548.365,0.04645579365246028,0.03641924617520616,0.022865330881106056,0.019845756186748595,0.01494531072162492,0.140531437617146,0.8867031424748928,5023,
Austria,AUT,40,2024,Imports,partner,204403454311.075,0.31971572365772954,0.08189515070437343,0.06497841315462233,0.04295683461477222,0.040699327026565105,0.5502454491580626,0.9180300385371889,234,0.5502454491580626
Austria,AUT,40,2024,Imports,product,204403454311.075,0.02360438819881813,0.019267327675844537,0.018820901198696418,0.01492913039193027,0.012795384896752651,0.089417132362042,0.8403418971254353,5370,
Belgium,BEL,56,2024,Exports,partner,364131968844.173,0.15300528480609557,0.12867917784419716,0.12858665787108706,0.0788356411098327,0.06345072707699646,0.552557488708209,0.8940817799206637,232,0.5525574887082088
Belgium,BEL,56,2024,Exports,product,364131968844.173,0.06393245291043755,0.041714909513125745,0.03964149157254088,0.03321810154124721,0.03066903547166732,0.2091759910090187,0.9000017700869445,5366,
Belgium,BEL,56,2024,Imports,partner,356485297669.35803,0.23842123926595724,0.13611697075798898,0.11599195479130757,0.06026482012189765,0.046079112563558476,0.5968740975007099,0.9230400480172194,234,0.5968740975007099
Belgium,BEL,56,2024,Imports,product,356485297669.358,0.06147578518104967,0.05167053616201432,0.03177869820874457,0.023254312244677347,0.022643120342095473,0.1908224521385814,0.8799705073651871,5485,
Brazil,BRA,76,2025,Exports,partner,348676492137.0,0.2868602934398575,0.10928245232841308,0.05192643953721456,0.03368857908661266,0.025221596004655917,0.5069793603967537,0.8774029377516488,230,0.5069793603967537
Brazil,BRA,76,2025,Exports,product,348676492137.0,0.12811111865393202,0.12484686518211265,0.07534694924795064,0.04262739100334888,0.04131878801378822,0.41225111210113247,0.9656929377263426,4901,
Brazil,BRA,76,2025,Imports,partner,293884011160.0,0.2581689600585075,0.1626014546534271,0.05031297777186634,0.04564471367480025,0.035001654780054486,0.5517297609386556,0.9040717427418989,227,0.5517297609386557
Brazil,BRA,76,2025,Imports,product,293884011160.0,0.04191875620376299,0.023262036124442557,0.020863812314245944,0.017594213059059297,0.015964240757710774,0.11960305845922156,0.8752327003333655,4917,
Canada,CAN,124,2025,Exports,partner,563980718072.402,0.7251820315684754,0.05992140869418974,0.04397196469312865,0.01871528628648254,0.012206563790626295,0.8599972550329027,0.9632132689729516,220,0.8599972550329026
Canada,CAN,124,2025,Exports,product,563980718072.402,0.1810113628741815,0.06741438756737968,0.042831052682925135,0.023445366392644135,0.0170615774139954,0.33176374693112587,0.9340673531938359,5177,
Canada,CAN,124,2025,Imports,partner,571105331573.359,0.45879610523717756,0.11499900939664366,0.06756175177889359,0.031838787428977694,0.02671905828037593,0.6999147121220685,0.9339248470800126,220,0.6999147121220683
Canada,CAN,124,2025,Imports,product,571105331573.359,0.031264504546257184,0.028950141077659065,0.022634756237297597,0.020187740853844657,0.017664733001814276,0.12070187571687277,0.8590103224872885,5525,
China,CHN,156,2024,Exports,partner,3576543293842.0,0.14697117336788526,0.08132780284774313,0.04525354437164827,0.04250145375752167,0.040885674169182845,0.3569396485139812,0.8321321811904989,215,0.3569396485139812
China,CHN,156,2024,Exports,product,3576543293842.0,0.037061573229723005,0.028568298218540674,0.027094314034964092,0.01921398968728262,0.01709106191423623,0.12902923708474662,0.8535973497971794,5228,
China,CHN,156,2024,Imports,partner,2585134598079.0,0.08423605253970817,0.0702094515209662,0.0636681967485587,0.060438702456383796,0.05445999778758818,0.33301240105320506,0.8605340566334885,216,0.33301240105320506
China,CHN,156,2024,Imports,product,2585134598079.0,0.1257909741236083,0.07448460553740023,0.05004872153664401,0.03859328230767469,0.03606291325150994,0.32498049675683716,0.940845952187497,5076,
Czech Republic,CZE,203,2025,Exports,partner,282032941945.0,0.3153117031816168,0.07480353955288739,0.07350111792629728,0.04865291072869037,0.04241373473788305,0.5546830061273748,0.9147546846713899,210,0.5546830061273749
Czech Republic,CZE,203,2025,Exports,product,282032941945.0,0.036338328789970245,0.029001887040539766,0.026972578353926798,0.024609306984265375,0.021685450571205613,0.1386075517399078,0.908359528388299,5172,
Czech Republic,CZE,203,2025,Imports,partner,250109656248.0,0.20178717808062868,0.16185066258641784,0.08190204226536657,0.044788348463013716,0.0386202686569693,0.5289485000523961,0.9105756781825061,235,0.5288709269497777
Czech Republic,CZE,203,2025,Imports,product,250109656248.0,0.037893844088939636,0.019622584552007855,0.019445995308463394,0.01824575776664557,0.01616995775241021,0.11137813946846667,0.8733552833648581,5363,
Denmark,DNK,208,2025,Exports,partner,153400694236.242,0.1979906921383308,0.1290323144118119,0.07878975941518589,0.055031361085193534,0.05381912433344443,0.5146632513839665,0.9047798413527279,230,0.5146632513839664
Denmark,DNK,208,2025,Exports,product,153400694236.242,0.1560184168969333,0.024235661716820647,0.012939633565837159,0.011786368339745352,0.011722248283496767,0.21670232880283324,0.9028696339106563,5001,
Denmark,DNK,208,2025,Imports,partner,140625740177.889,0.19325877816264922,0.1154053352718973,0.08791825521428943,0.07198774578297808,0.04838259225828265,0.5169527066900966,0.917776846605485,229,0.5169527066900965
Denmark,DNK,208,2025,Imports,product,140625740177.889,0.04769671735804753,0.02290857848969055,0.022087605914186532,0.02043421345166239,0.015056821851892525,0.12818393706547954,0.8573819605851363,5351,
Finland,FIN,246,2025,Exports,partner,87048581323.08,0.1130718247080645,0.10326710116697323,0.09779725496618563,0.07491928364297032,0.043180576451478506,0.4322360409356722,0.8769656721341093,211,0.4322360409356723
Finland,FIN,246,2025,Exports,product,87048581323.08,0.07713700485122872,0.03997203138465676,0.030027214338276317,0.028997071330727677,0.024659487692257877,0.20079280959714735,0.9315379756434425,4293,
Finland,FIN,246,2025,Imports,partner,88010795765.741,0.1327508329036483,0.11458797667456917,0.09407917215690098,0.0694763077932672,0.05467118534304834,0.46556547487143396,0.8943366769105512,212,0.4654031103112837
Finland,FIN,246,2025,Imports,product,88010795765.741,0.06631606110491416,0.05422467980624353,0.028580859801930703,0.021676835221942473,0.02114876688852228,0.19194720282355313,0.8725502203751754,5077,
France,FRA,251,2024,Exports,partner,645958957527.448,0.13210044941822655,0.08588901590754784,0.0815551284784908,0.07708471901420483,0.07437703079934688,0.4510063436178169,0.8813201029471642,229,0.45100634361781694
France,FRA,251,2024,Exports,product,645958957527.448,0.04275806357536481,0.028147295200216204,0.02239888680807123,0.0166682529612363,0.015289863981521339,0.1252623625264099,0.8691356173170899,5473,
France,FRA,251,2024,Imports,partner,762044581840.179,0.12390867820527621,0.1021091955375994,0.07632443791881752,0.07547227056350761,0.07327314061696143,0.45108772284216214,0.8890702116978006,234,0.4510877228421622
France,FRA,251,2024,Imports,product,762044581840.179,0.038954668115888234,0.036107792721894565,0.019142068415926753,0.01687383758510443,0.014323622371238404,0.12540198921005238,0.8414753866828661,5541,
Germany,DEU,276,2024,Exports,partner,1630712507906.056,0.10423116811710928,0.07390106480359539,0.06981241907928351,0.05993235789730528,0.058024853822953006,0.3659018637202465,0.8807138387576932,228,0.36590186372024647
Germany,DEU,276,2024,Exports,product,1630712507906.056,0.035647882767586465,0.03408791155807235,0.029519785696367033,0.024372450492019925,0.020216974548272898,0.14384500506231868,0.860618483492358,5362,
Germany,DEU,276,2024,Imports,partner,1376916344449.61,0.12312413524639455,0.06928955826110139,0.06823619544020121,0.05883687218242385,0.0511703583118237,0.3706571194419447,0.8824073433418291,230,0.37065711944194474
Germany,DEU,276,2024,Imports,product,1376916344449.61,0.049400359903549886,0.0340645824562209,0.019730318847816692,0.017103336002262725,0.01326882397557495,0.13356742118542514,0.8592833121758281,5500,
Greece,GRC,300,2024,Exports,partner,53357148958.436,0.10540352293725425,0.07012890427777238,0.06263451654539003,0.05749485061697573,0.048923200210480584,0.34458499458787295,0.8540817256331752,216,0.34458499458787295
Greece,GRC,300,2024,Exports,product,53357148958.436,0.1796273794464924,0.07496402300718513,0.04427369510297846,0.021652401481176597,0.02109853652919011,0.3416160355670227,0.9371848566005296,4670,
Greece,GRC,300,2024,Imports,partner,86415650768.959,0.10361779232118448,0.08678297139416823,0.08294499851467525,0.06262514188810515,0.05144905041745089,0.387419954535584,0.8684485290793844,202,0.3909030100960172
Greece,GRC,300,2024,Imports,product,86415650768.959,0.1709468135659676,0.03768473520814788,0.02917623597209152,0.026076717290329628,0.014455410323192409,0.27833991235972905,0.8842510538426049,5230,
Hungary,HUN,348,2025,Exports,partner,163704116118.018,0.24955610547714563,0.05623353501663593,0.0496453265488936,0.048918763946434345,0.047476622658638,0.4518303536477475,0.8997700127587871,204,0.45183035364774754
Hungary,HUN,348,2025,Exports,product,163704116118.018,0.0542800914625016,0.047125416791232985,0.035865189722567886,0.025580783209103963,0.019125046760589088,0.18197652794599553,0.9291983299627875,4560,
Hungary,HUN,348,2025,Imports,partner,153119885427.257,0.2162926637437159,0.08059388286168515,0.061846843361490926,0.06139991276349547,0.06050061493658834,0.48063391766697583,0.9098125649006932,195,0.48051886475638894
Hungary,HUN,348,2025,Imports,product,153119885427.257,0.09747552531454619,0.027528506219092665,0.024992397083604286,0.022891373237666032,0.019198557290356393,0.19208635914526553,0.8997349377762391,5193,
Iceland,ISL,352,2025,Exports,partner,7183278378.911,0.34408002432236284,0.09911622884938752,0.09268408966240466,0.0731550433602527,0.052053443311170434,0.6610888295055781,0.9157513615956223,132,0.6610888295055783
Iceland,ISL,352,2025,Exports,product,7183278378.911,0.22040448028662094,0.08948884749701894,0.06815806391415727,0.05718549874566813,0.04450138034111132,0.4797382707845766,0.9807421444917652,2093,
Iceland,ISL,352,2025,Imports,partner,10945496136.739,0.11835419397881701,0.09785239188336113,0.0859141542344161,0.06869902459259626,0.058980967102633036,0.42980073179182354,0.8803251153285352,180,0.4298007317918235
Iceland,ISL,352,2025,Imports,product,10945496136.739,0.0749275178714136,0.07474577752806608,0.0679192082788021,0.02889848760444019,0.02441220162694317,0.27090319290966514,0.9084827561927378,4971,
India,IND,699,2024,Exports,partner,434435484213.953,0.18286191645255695,0.0854061890661286,0.05574974011085654,0.035947151594283674,0.034296064643000605,0.39426106186682636,0.8351025955447502,223,0.3942610618668264
India,IND,699,2024,Exports,product,434435484213.953,0.11352188904618034,0.046357632765017524,0.04546767226112003,0.040600141193932675,0.03105213338317296,0.27699946864942354,0.8995989443894443,5198,
India,IND,699,2024,Imports,partner,696854828453.215,0.18215945281369222,0.09636647084074056,0.07998057460072819,0.05573244738571033,0.04396229160309646,0.4582012372439678,0.8787822322520382,213,0.457864220166399
India,IND,699,2024,Imports,product,696854828453.215,0.20310158798306885,0.08224171535625038,0.044480736122137716,0.021503607020264836,0.020792890259840963,0.37212053674156276,0.9180098789797522,5052,
Ireland,IRL,372,2024,Exports,partner,242218972339.542,0.3245492541324628,0.10274587695561874,0.09323617057376664,0.08995811518298594,0.07610636429226812,0.6865957811371023,0.940790865530456,220,0.6865957811371023
Ireland,IRL,372,2024,Exports,product,242218972339.542,0.09906152311462808,0.08176029928170508,0.07921192345126139,0.07454936002601134,0.04879982372978782,0.38338292960339365,0.9771790905690945,4706,
Ireland,IRL,372,2024,Imports,partner,144552206720.719,0.16842036098156293,0.16509219060391872,0.1013360267580849,0.09119075909920107,0.08819861683841464,0.6142379542811823,0.931588689549603,236,0.6142379542811821
Ireland,IRL,372,2024,Imports,product,144552206720.719,0.12286343846286223,0.05449997798075687,0.032544732177455626,0.02531759512267235,0.023323417121046013,0.25854916086479307,0.9114036200090592,5384,
Italy,ITA,380,2025,Exports,partner,726752346725.401,0.1122595745970262,0.10831677582721819,0.1010356223488705,0.05932520976774175,0.054575727015599776,0.4355129095564564,0.8606232584654796,225,0.4355129095564562
Italy,ITA,380,2025,Exports,product,726752346725.401,0.039404742231311296,0.03733077916662716,0.03105586819054182,0.017845590963051106,0.016841838850782206,0.1424788194023136,0.8583976592752063,5307,
Italy,ITA,380,2025,Imports,partner,669460118546.108,0.1444446664889328,0.102304130560793,0.07993287652953811,0.06644220111683095,0.05982281255444,0.4529466872505349,0.8745454809955091,220,0.4529466872505348
Italy,ITA,380,2025,Imports,product,669460118546.108,0.037641166367402425,0.036056257076027026,0.026035929255290705,0.025799560944385715,0.018922034336872215,0.1444549479799781,0.8481396528468943,5495,
Japan,JPN,392,2025,Exports,partner,708494370492.208,0.18588434316048727,0.17002212519516388,0.0715927618409649,0.06301064801821736,0.05805011789116725,0.5485599961060007,0.9058942785517008,218,0.5485599961060007
Japan,JPN,392,2025,Exports,product,708494370492.208,0.0953126128568225,0.04758048367172276,0.040682329236843236,0.030719210613225842,0.025116631882678746,0.23941126826129308,0.9260568774006155,4879,
Japan,JPN,392,2025,Imports,partner,723703023207.774,0.2364872274197176,0.11618103199051664,0.05992748794165756,0.04415492137453011,0.04348281710285933,0.5002334858292812,0.908900776262918,219,0.4996317262425148
Japan,JPN,392,2025,Imports,product,723703023207.774,0.08527775590943261,0.050570845861505676,0.027635172015604708,0.027630167459320076,0.01999233987684215,0.21110628112270519,0.8945368315190538,5212,
Korea,KOR,410,2024,Exports,partner,683127018292.0,0.1945508942382237,0.1879131061189112,0.08536971401425678,0.05126628874167914,0.04972444521654165,0.5688244483296124,0.9063076367803398,223,0.5688244483296125
Korea,KOR,410,2024,Exports,product,683127018292.0,0.10542651928343941,0.05247284686912783,0.05086243921499847,0.030784155382375795,0.024961245121930334,0.2645072058718718,0.9391389953114508,5014,
Korea,KOR,410,2024,Imports,partner,631727134467.0,0.2214167512829968,0.11474824215863517,0.0752931237917004,0.04978391095474286,0.04784492143035987,0.5090869496184351,0.9113807656921868,229,0.5090869496184351
Korea,KOR,410,2024,Imports,product,631727134467.0,0.1350811366556199,0.05108728433238747,0.046336529273350545,0.031559524250642214,0.03141467252430754,0.2954791470363077,0.903070337050506,5386,
Luxembourg,LUX,442,2025,Exports,partner,16677943303.946,0.25254618973314613,0.15497854375583917,0.142206545539872,0.06556044630055186,0.041648140096366464,0.6569398654257756,0.9221917918853639,200,0.6569398654257756
Luxembourg,LUX,442,2025,Exports,product,16677943303.946,0.045141920196351194,0.03530356046765624,0.03117651391073967,0.02890826199066932,0.02315435751701068,0.1636846140824271,0.9460157497865478,3994,
Luxembourg,LUX,442,2025,Imports,partner,27466321628.794003,0.2204885057487368,0.20847227768509233,0.1025153500331538,0.056636831166616754,0.04819016261214289,0.6363031272457427,0.9426882924528139,230,0.6363031272457426
Luxembourg,LUX,442,2025,Imports,product,27466321628.794,0.051872392045805876,0.030740753587580907,0.029188601953438992,0.02868659843613708,0.017100967557213586,0.15758931358017642,0.8987243161941212,5108,
Mexico,MEX,484,2025,Exports,partner,665934159184.0,0.8189815740557429,0.032958132721249554,0.014891101013876714,0.013309827177000228,0.011594820736424415,0.8917354557042938,0.9613205523278792,136,0.8917354557042938
Mexico,MEX,484,2025,Exports,product,665934159184.0,0.11188252827471133,0.10426327105532299,0.03635021948665583,0.0350396974268333,0.023704345014141856,0.31124006125766535,0.9366261758368721,3088,
Mexico,MEX,484,2025,Imports,partner,663605567587.0,0.3766113240215315,0.20078671996755296,0.0701436708875977,0.0347353389526498,0.03369184749202516,0.715968901321357,0.9479084200694632,218,0.7159689013213572
Mexico,MEX,484,2025,Imports,product,663605567587.0,0.12779908108724763,0.05221395659019601,0.031092069323687507,0.023917069304755668,0.021184863269184246,0.25620703957507107,0.8978856771390098,4160,
Netherlands,NLD,528,2025,Exports,partner,747995224683.8369,0.22253035130824916,0.11380053963744692,0.07552048285979872,0.0625865592187324,0.05139222584215471,0.525830158866382,0.8992950799473141,234,0.5258301588663818
Netherlands,NLD,528,2025,Exports,product,747995224683.837,0.04912497066393372,0.03195853691339955,0.03025878215565174,0.02557366620905427,0.02258604337156547,0.15950199931360473,0.8714983796727926,5427,
Netherlands,NLD,528,2025,Imports,partner,653407237542.822,0.16643399885552837,0.10082182067287035,0.09301205707743333,0.08342019180937643,0.042828203710131095,0.48651627212533954,0.8739851742243805,227,0.48763894672325175
Netherlands,NLD,528,2025,Imports,product,653407237542.822,0.05836366289965337,0.02964877158764159,0.02765280719232445,0.02362955997660515,0.016510512129869065,0.1558053137860936,0.8637008514245235,5516,
New Zealand,NZL,554,2025,Exports,partner,47562275370.915,0.25069207699750584,0.12441552698083544,0.11659273892758502,0.04942550784102186,0.03300555027388295,0.5741314010208312,0.9042376072359619,210,0.5741314010208313
New Zealand,NZL,554,2025,Exports,product,47562275370.915,0.11465918140541406,0.05567314865327603,0.0473027574386149,0.046687787128155654,0.03638651852809174,0.30070939315355233,0.9638239364959114,4293,
New Zealand,NZL,554,2025,Imports,partner,48095359530.648,0.22277284754477109,0.10739098541660097,0.10419084717544858,0.06834020411833099,0.052864689329888526,0.5555595735850402,0.9250342289254763,221,0.5555595735850402
New Zealand,NZL,554,2025,Imports,product,48095359530.648,0.07747317730802286,0.0373273388109926,0.025048886879269542,0.017966819886861492,0.015990011509508274,0.17380623439465476,0.8694841962046067,4925,
Norway,NOR,579,2025,Exports,partner,175367623958.881,0.1759459007771852,0.1746685983226824,0.09764297463030565,0.06506046505124698,0.058966244932437656,0.5722841837138578,0.9280693654280268,210,0.5722841837138579
Norway,NOR,579,2025,Exports,product,175367623958.881,0.3104662939788593,0.2483555533704564,0.04932061071647417,0.03198905095745813,0.022903035456976653,0.6630345444802247,0.9778939157966782,4370,
Norway,NOR,579,2025,Imports,partner,109870738717.676,0.11917193735442243,0.11773331258221481,0.09987676026538428,0.0708315046314418,0.041966383327148804,0.4495798981606121,0.8880605106451245,210,0.4495798981606121
Norway,NOR,579,2025,Imports,product,109870738717.676,0.06199172197774834,0.03576278163611597,0.027565458762313328,0.015910834023324542,0.015594388865516508,0.1568251852650187,0.8718563261646683,5164,
Poland,POL,616,2024,Exports,partner,380333187161.0,0.2706290594499941,0.06097168946548848,0.06081674581347671,0.05279020774619065,0.04614982055870365,0.49135752303385355,0.9056100789724648,227,0.49135752303385355
Poland,POL,616,2024,Exports,product,380333187161.0,0.016909222694988263,0.014151405445777266,0.01289683863407799,0.011935449551181008,0.009893402032800157,0.06578631835882469,0.8711286494119082,5212,
Poland,POL,616,2024,Imports,partner,379496069834.0,0.19217611359691086,0.14511772090048136,0.050062458381480386,0.04685758203445522,0.038565665205444424,0.47277954011877227,0.8973970497581563,235,0.47277954011877227
Poland,POL,616,2024,Imports,product,379496069834.0,0.04003404648075974,0.01690846903844566,0.01680436725152259,0.015620132560510949,0.01510822290072191,0.10447523823196085,0.8462275790448559,5388,
Russia,RUS,643,2021,Exports,partner,492313790696.684,0.13950299458451182,0.08560602192038871,0.06021697867453153,0.05367774714304381,0.04698300790566863,0.3859867502281445,0.8511378144854291,199,0.38598675022814455
Russia,RUS,643,2021,Exports,product,492313790696.684,0.2254014590671255,0.14897790426198396,0.11024943829604687,0.03526646323331795,0.031866444318468426,0.5517617091769428,0.9663079456334482,4947,
Russia,RUS,643,2021,Imports,partner,293497128020.037,0.24767882863323032,0.0931884825365064,0.0588267899952714,0.05327320773624935,0.04424889069992326,0.49721619960118074,0.8920719119653786,220,0.49721619960118074
Russia,RUS,643,2021,Imports,product,293497128020.037,0.0472288988076322,0.02638913751021523,0.02507357983488207,0.012906578585605073,0.011336759275589386,0.12293495401392396,0.8374655292545043,4972,
Slovakia,SVK,703,2025,Exports,partner,129838072295.192,0.21392654854286186,0.12433671558962918,0.07740444929828307,0.07553517935818255,0.05386449868361901,0.5450673914725757,0.9137022871304621,199,0.5450673914725757
Slovakia,SVK,703,2025,Exports,product,129838072295.192,0.07785249149528012,0.04815953623184338,0.036707464597943586,0.035603604191119693,0.026514316130173174,0.22483741264635992,0.9322174141029851,4653,
Slovakia,SVK,703,2025,Imports,partner,129864656107.366,0.13759079253868295,0.10065706300859761,0.0950595441660727,0.078601743029357,0.06158118315768899,0.4734903259003993,0.9164178913931564,236,0.4734903259003992
Slovakia,SVK,703,2025,Imports,product,129864656107.366,0.03975243356257719,0.03504132871775946,0.031423064450609495,0.02211651016956021,0.02126186675405507,0.14959520365456141,0.893187925148903,5202,
Spain,ESP,724,2025,Exports,partner,449503281706.754,0.14141033791524354,0.10020897360065299,0.08675056677880331,0.08039107606443319,0.06357297616118077,0.4723339305203138,0.8817712273027514,230,0.47233393052031397
Spain,ESP,724,2025,Exports,product,449503281706.754,0.03871417887841757,0.025612415131609067,0.023482751399886825,0.022457986003440827,0.016468837873095707,0.12673616928644998,0.8612997632919488,5385,
Spain,ESP,724,2025,Imports,partner,520906310409.967,0.11081986720645315,0.11004767286165162,0.08261750206692937,0.06911289037221491,0.06685528487556532,0.43945321738281434,0.8789006241478896,236,0.43945321738281434
Spain,ESP,724,2025,Imports,product,520906310409.967,0.06282815184214516,0.029060480531309288,0.028826848818030142,0.01825434839778639,0.017198848167099455,0.15616867775637044,0.8507264254441318,5491,
Sweden,SWE,752,2025,Exports,partner,219635923180.057,0.09845483426228739,0.09816310019003151,0.07997043067284473,0.06979977958948481,0.0649499722264527,0.4113381169411011,0.8923225502807388,225,0.4113381169411011
Sweden,SWE,752,2025,Exports,product,219635923180.057,0.043477844040874444,0.0322680962092886,0.02839325397374361,0.025430912640601995,0.02483494538704078,0.15440505225154944,0.9076941882471519,5091,
Sweden,SWE,752,2025,Imports,partner,211845441086.662,0.15931176923871931,0.10889019603592205,0.08669990500529778,0.06735475776752213,0.0639852330935076,0.4862418611409689,0.9185348421073842,230,0.48715101021063995
Sweden,SWE,752,2025,Imports,product,211845441086.662,0.0508841404204081,0.04520376046692245,0.023455655287343596,0.02257475622709118,0.019299727936417793,0.1614180403381831,0.8682054648237632,5294,
Switzerland,CHE,757,2025,Exports,partner,553517336652.562,0.219104469377488,0.10972572908304566,0.10553266135470848,0.06498963895165016,0.058725908733551754,0.558078407500444,0.9207967278290163,224,0.5580784075004441
Switzerland,CHE,757,2025,Exports,product,553517336652.562,0.3237946648713093,0.10573341117093465,0.0803928037396623,0.03248412074639898,0.029966169968145707,0.5723711704964509,0.9710845819214406,5105,
Switzerland,CHE,757,2025,Imports,partner,506588194748.218,0.15040504137406574,0.1359681699511224,0.09459921480812511,0.07590754085447678,0.06120505047736521,0.5180850174651552,0.8809250368629649,196,0.5176563427526255
Switzerland,CHE,757,2025,Imports,product,506588194748.218,0.41301598396152717,0.10103370627970804,0.025594550669642523,0.02153085682633422,0.010875683180484102,0.5720507809176962,0.9356512778418811,5442,
Turkey,TUR,792,2025,Exports,partner,273361209783.0,0.08109135188052768,0.06135802763060162,0.059731234526514125,0.048404221314003244,0.04528716526689107,0.29587200061853774,0.8075792819532539,222,0.29587200061853774
Turkey,TUR,792,2025,Exports,product,273361209783.0,0.04114529830303476,0.03577586900776216,0.034866772745723834,0.02332902272441067,0.016663861692798543,0.15178082447372998,0.8813580019278731,5179,
Turkey,TUR,792,2025,Imports,partner,365369912607.0,0.13568697300296037,0.1159730650744015,0.0824083955221198,0.05697242969316459,0.04948477348064376,0.44052563677329004,0.8810435679074842,224,0.44052563677329004
Turkey,TUR,792,2025,Imports,product,365369912607.0,0.10574809101908454,0.06330236826554964,0.045151625680641606,0.018919105663840495,0.016906002946236186,0.25002719357535247,0.8949187669183543,5225,
United Kingdom,GBR,826,2025,Exports,partner,566427748786.185,0.15957905921005539,0.07628623382171049,0.06623257570987666,0.0591844754255737,0.05659387155831876,0.41787621572553496,0.8861857864322791,233,0.4178762157255351
United Kingdom,GBR,826,2025,Exports,product,566427748786.185,0.1487240334411873,0.055010920872272016,0.04767804340295178,0.0343014768636435,0.030330855190924252,0.3160453297709788,0.9201036037944559,5262,
United Kingdom,GBR,826,2025,Imports,partner,961777159011.316,0.11880945999077688,0.11430898622968698,0.08391525989999561,0.05419113451217942,0.04505574356410573,0.41628058419674463,0.8866056094196042,234,0.41628058419674474
United Kingdom,GBR,826,2025,Imports,product,961777159011.316,0.1613378143247757,0.046487959587124005,0.027085458577099042,0.021132788670042493,0.020800395199211234,0.27684441635825247,0.8909533979580684,5398,
United States,USA,842,2025,Exports,partner,2177127769561.0,0.15523160460037982,0.1514170784250628,0.0488296469303849,0.044463192203698425,0.04392839980139731,0.44386992196092323,0.8810309318155314,222,0.4438699219609233
United States,USA,842,2025,Exports,product,2177127769561.0,0.10314141795190968,0.04609115398414766,0.0328996883051301,0.02936578308625937,0.020501075718674964,0.23199911904612175,0.9066910066007281,5516,
United States,USA,842,2025,Imports,partner,3500545985635.0,0.15396580736739893,0.11210929377401412,0.09355000744650858,0.058571758411511604,0.0574931051495648,0.47568997214899805,0.9016723593436045,223,0.47518416377130274
United States,USA,842,2025,Imports,product,3500545985635.0,0.04701268493953149,0.042349123355140926,0.041949740374960943,0.025526189001282572,0.02426636910144486,0.18110410677236077,0.8924255570227864,5485,
