country,iso3,year,cmd_code,total_product_imports,product_import_share,source_hhi,top_supplier_iso3,top_supplier_name,top_supplier_share,supplier_count,hhi_contribution,hhi_contribution_share,top_supplier_component,residual_component
India,IND,2024,270900,141532322252.517,0.20310158798306885,0.2098932613550469,RUS,Russian Federation,0.372550192569198,32,0.04262965468815533,0.13434728996135323,0.028189209901177566,0.014440444786977757
India,IND,2024,710812,57310536446.278,0.08224171535625038,0.2101166133687696,CHE,Switzerland,0.3309097730822173,42,0.017280350708293663,0.05445899818386409,0.00900557292995124,0.008274777778342426
India,IND,2024,851779,13125594741.904,0.01883547936524805,0.7645473482845004,CHN,China,0.8714212085866833,63,0.014400615802367822,0.045383518139552464,0.014303190688409236,9.742511395858506e-05
India,IND,2024,270119,30996615739.865,0.044480736122137716,0.2117737797705816,AUS,Australia,0.3036736301340811,20,0.009419853615562947,0.029686653911254073,0.004101910006925354,0.005317943608637592
India,IND,2024,847130,5772707680.155,0.008283945872870657,0.8945817687599354,CHN,China,0.944975519851116,50,0.007410666951264199,0.02335470528653233,0.007397387490773188,1.3279460491011778e-05
India,IND,2024,854231,14489625975.068,0.020792890259840966,0.2808429201062817,CHN,China,0.3675345250346262,75,0.0058395360180231995,0.018403288611932148,0.0028087374482536212,0.0030307985697695782
India,IND,2024,710239,5792254324.281,0.008311995680847718,0.6238249227591967,IND,India,0.7781470286043575,34,0.005185230063579603,0.01634124442161179,0.0050330197627195886,0.00015221030086001513
India,IND,2024,271111,14984892381.232,0.021503607020264836,0.2380553185683029,QAT,Qatar,0.4274263129008478,14,0.00511904801957674,0.01613267181362493,0.003928563916905965,0.0011904841026707752
India,IND,2024,710231,11271743519.193,0.016175167422191085,0.2587489306886563,ARE,United Arab Emirates,0.466416088120447,31,0.004185307274201932,0.013189989317478544,0.0035188100920790213,0.0006664971821229109
India,IND,2024,151110,6461750074.196,0.009272734880145593,0.366095057480989,IDN,Indonesia,0.4292586286042832,9,0.0033947024089528723,0.01069839932329583,0.001708621671182355,0.0016860807377705172
India,IND,2024,850760,2795936197.841,0.00401222189139027,0.8352898811962213,CHN,China,0.9131753159505376,47,0.0033513683469922565,0.01056183209491892,0.0033457483333619174,5.6200136303392e-06
India,IND,2024,271113,7570500942.708,0.010863813571489465,0.2663136410204196,ARE,United Arab Emirates,0.3853734732065707,18,0.002893181747590408,0.009117857744750187,0.0016134144362764354,0.0012797673113139724
India,IND,2024,150710,4034401480.895,0.005789443247239922,0.4870713632561199,ARG,Argentina,0.6669316705937001,18,0.0028198720149270862,0.008886822237116928,0.0025751319278323635,0.00024474008709472284
India,IND,2024,854143,2875192304.7129993,0.004125955919821875,0.6713982046030266,CHN,China,0.804207687934045,21,0.0027701593968396357,0.008730152999099655,0.0026684620131453116,0.00010169738369432424
India,IND,2024,271112,7103723443.382,0.01019397893697586,0.268078823727194,ARE,United Arab Emirates,0.4047534637401542,18,0.00273278988252428,0.008612383033282057,0.0016700323345223483,0.001062757548001932
India,IND,2024,710691,2111757220.738,0.0030304119803910893,0.8431811521766078,ARE,United Arab Emirates,0.9177746059770462,22,0.0025551862651959547,0.008052665511525463,0.0025525470042471496,2.639260948804895e-06
India,IND,2024,841112,2762382288.661,0.0039640713902959765,0.6270055024999995,USA,USA,0.7781094699165946,21,0.0024854945740184005,0.00783303225596617,0.0024000642557623205,8.543031825608014e-05
India,IND,2024,854232,4097733964.591001,0.00588032657201587,0.4202769301216314,CHN,China,0.56708641552257,50,0.0024713655997994862,0.007788504815851288,0.001891036597016733,0.0005803290027827535
India,IND,2024,170114,1652986660.772,0.002372067456920803,0.9965858754644784,BRA,Brazil,0.9982908470406648,9,0.0023639689232162176,0.00745004435785872,0.0023639659339858856,2.989230331959674e-09
India,IND,2024,854239,4228515774.045,0.006068000968624833,0.3788850021914614,CHN,China,0.5849452619189112,69,0.0022990745602952094,0.007245529874783906,0.0020762330333159175,0.0002228415269792918
India,IND,2024,151190,2059921617.1129997,0.0029560268982929167,0.7446083752066678,IDN,Indonesia,0.8534180483638101,15,0.0022010823858050945,0.00693670769040377,0.002152940502375586,4.814188342950837e-05
India,IND,2024,740311,2671625977.7139997,0.0038338343491773133,0.5653166506741728,JPN,Japan,0.7296244392626102,15,0.0021673303935165157,0.006830338339585947,0.002040948702446479,0.00012638169107003687
India,IND,2024,151211,3617048603.818,0.005190533890461289,0.40548474891333,RUS,Russian Federation,0.5418063979777278,14,0.0021046823312998253,0.006632903069661484,0.001523702883069801,0.0005809794482300244
India,IND,2024,880240,8703625216.195,0.012489868564897715,0.1575065890315203,ARE,United Arab Emirates,0.2326510943203546,19,0.0019672365951090487,0.006199743047394061,0.0006760332666626183,0.00129120332844643
India,IND,2024,740200,2171322504.264,0.003115889300908786,0.5761420716976393,ZMB,Zambia,0.7328741207107764,19,0.0017951949170060969,0.005657553968392275,0.0016735580927549922,0.00012163682425110476
India,IND,2024,710692,4318814504.697,0.006197581373273004,0.289557414827885,CHN,China,0.4347399136802534,28,0.0017945556406303844,0.0056555392898957795,0.0011713353962586044,0.00062322024437178
India,IND,2024,852491,1465843985.197,0.002103514140026387,0.8390115667411967,CHN,China,0.9151997523997792,35,0.0017648726942858,0.005561993530995434,0.0017618836428712691,2.989051414530908e-06
India,IND,2024,890120,1229072968.538,0.001763743204974459,0.9074945121756964,KOR,Rep. of Korea,0.952018210396288,4,0.001600587279401496,0.005044248303375391,0.0015985486757790672,2.038603622428729e-06
India,IND,2024,271019,6493051078.054,0.009317652419035979,0.159014790377035,RUS,Russian Federation,0.3030587476201947,84,0.0014816445462190794,0.0046694004660999475,0.0008557761013798128,0.0006258684448392665
India,IND,2024,854142,1542415857.1839998,0.0022133962400858265,0.6488469220028545,CHN,China,0.7961794272668082,25,0.0014361553375523799,0.004526041296255308,0.001403075595987872,3.3079741564507615e-05
